,Techie,Tenure,MonthlyCharge,Male,One_year,Two_year
9711,0,64.33534,117.4686,1.0,1.0,0.0
3936,0,20.44277,157.4698,0.0,0.0,0.0
4060,0,11.69113,149.9378,0.0,0.0,1.0
4086,0,2.779089,277.6513,0.0,0.0,0.0
2048,0,7.793232,117.4392,1.0,0.0,1.0
282,0,3.778174405,242.632554,0.0,0.0,0.0
1108,1,1.763317472,127.460067,0.0,0.0,0.0
1668,1,5.260793737,149.991327,1.0,1.0,0.0
5338,0,53.71087,184.9634,0.0,0.0,1.0
7096,0,55.93837,114.9509,0.0,0.0,0.0
5743,0,69.76805,162.4653,0.0,1.0,0.0
885,0,9.595456517,207.481057,0.0,0.0,0.0
3597,0,9.521766,120.0035,0.0,1.0,0.0
9701,1,55.23911,162.4713,0.0,0.0,0.0
32,0,4.727388465,230.105118,0.0,0.0,0.0
6310,0,63.87447,204.961,0.0,0.0,1.0
9957,0,71.71958,187.6094,0.0,0.0,0.0
624,0,2.08299524,144.988941,0.0,0.0,0.0
8500,0,44.14809,242.6326,1.0,0.0,1.0
7820,0,64.58418,169.9378,0.0,0.0,0.0
3204,1,3.878694,112.4551,0.0,0.0,0.0
5580,0,41.09169,169.9378,0.0,1.0,0.0
3585,0,6.394005,187.4673,0.0,0.0,0.0
8834,1,71.59439,127.4887,0.0,0.0,0.0
3208,0,3.212519,139.9349,0.0,0.0,0.0
2768,0,18.55263,232.652,1.0,0.0,0.0
5618,0,63.30929,137.4392,1.0,1.0,0.0
3943,0,13.41057,222.6609,1.0,0.0,0.0
5175,0,60.46007,182.4833,0.0,1.0,0.0
2659,1,7.900866,184.9853,0.0,0.0,0.0
2754,0,10.44767,162.4653,1.0,0.0,1.0
4611,1,16.58054,159.9942,0.0,0.0,0.0
4838,0,2.429677,130.0244,0.0,0.0,0.0
7425,0,66.31705,147.4601,0.0,0.0,0.0
4446,0,2.509742,162.4653,1.0,1.0,0.0
4185,0,7.27652,240.1149,1.0,0.0,0.0
5542,0,71.08539,149.9778,0.0,0.0,1.0
2490,0,4.85088,200.1652,0.0,0.0,1.0
5411,0,61.72165,204.9634,0.0,0.0,1.0
7532,0,53.48518,152.5104,0.0,0.0,0.0
5358,0,61.04844,152.4624,1.0,0.0,1.0
9988,1,71.26306,194.9581,0.0,0.0,1.0
6591,0,48.37971,207.6094,0.0,0.0,0.0
1481,0,7.154371452,217.483972,0.0,0.0,0.0
7545,0,53.42523,129.9621,1.0,0.0,1.0
1616,0,21.04742054,202.443347,1.0,1.0,0.0
3177,1,5.623623,137.4836,1.0,1.0,0.0
9981,0,61.48957,230.1051,0.0,0.0,1.0
5712,0,47.6364,159.9942,0.0,0.0,0.0
8959,0,69.72684,124.9781,1.0,0.0,0.0
3558,1,14.74297,149.9741,1.0,1.0,0.0
6246,0,57.78133,162.497,1.0,0.0,0.0
4231,0,10.77389,129.9915,0.0,0.0,0.0
7432,0,45.23339,114.9976,1.0,0.0,1.0
1123,0,1.456262249,184.961033,0.0,0.0,0.0
8925,0,54.99066,139.9979,0.0,0.0,0.0
7825,0,71.4622,172.5104,0.0,0.0,0.0
1459,0,3.354127023,127.481989,1.0,0.0,0.0
4333,0,12.70316,149.9621,0.0,0.0,0.0
8565,1,61.09569,252.6378,0.0,1.0,0.0
125,1,7.231032028,124.960655,1.0,0.0,1.0
9069,0,66.00877,252.6378,1.0,0.0,0.0
5526,0,68.68481,207.6094,1.0,0.0,0.0
6098,1,69.87194,124.9607,0.0,0.0,1.0
7619,0,51.68219,174.9755,0.0,0.0,0.0
3135,0,8.718999,255.1417,0.0,1.0,0.0
5020,0,65.57643,127.4421,0.0,1.0,0.0
1415,0,3.688657724,159.951231,0.0,0.0,0.0
269,0,2.411712843,197.516854,1.0,1.0,0.0
2566,0,7.437784,230.1051,0.0,0.0,0.0
7983,0,52.95931,162.4827,0.0,0.0,0.0
4562,0,2.691911,167.4564,0.0,0.0,0.0
4855,0,15.1631,227.4754,1.0,0.0,0.0
8195,0,66.7439,194.9699,1.0,0.0,1.0
1357,0,9.841085026,197.628838,1.0,0.0,0.0
209,0,11.96274778,119.95684,0.0,0.0,0.0
3106,1,2.290777,124.9607,0.0,0.0,0.0
717,0,13.85187885,147.456419,1.0,0.0,0.0
4406,1,2.780152,124.9781,0.0,0.0,0.0
5735,0,42.80596,255.1336,0.0,1.0,0.0
4991,0,13.02184,114.9658,1.0,1.0,0.0
3803,0,7.481549,184.9785,0.0,0.0,0.0
2606,1,8.867664,252.6378,0.0,0.0,0.0
7407,0,57.43857,184.9785,1.0,0.0,0.0
4605,0,1.877939,182.4676,0.0,0.0,0.0
9085,0,64.71389,190.1737,0.0,0.0,0.0
9337,0,66.63279,159.9476,1.0,0.0,0.0
482,0,5.709925704,172.457857,1.0,0.0,1.0
3262,0,28.57082,139.965,0.0,0.0,1.0
5017,0,66.50412,202.6362,0.0,0.0,0.0
8567,1,54.0833,92.48802,1.0,0.0,1.0
1585,0,7.208423897,217.470195,0.0,0.0,0.0
5938,0,68.41303,142.4526,0.0,0.0,1.0
204,0,3.86023041,129.976324,1.0,0.0,1.0
9516,0,47.79913,169.9741,1.0,1.0,0.0
7950,0,69.18745,149.989,1.0,1.0,0.0
4699,0,16.37611,222.65,0.0,1.0,0.0
3995,0,18.1201,79.97886,0.0,1.0,0.0
4644,0,7.502506,255.1336,1.0,0.0,0.0
5177,0,54.97784,262.6106,0.0,0.0,1.0
3764,0,4.610249,184.9634,1.0,0.0,0.0
1114,0,8.691329205,210.12704,1.0,0.0,0.0
8827,0,60.69166,160.0013,0.0,0.0,1.0
9761,1,70.40113,172.4705,0.0,0.0,0.0
5691,0,57.50491,142.4526,0.0,0.0,0.0
2144,0,1.375567,235.1591,1.0,0.0,1.0
3571,0,9.986555,132.5127,0.0,0.0,0.0
7179,0,71.09119,159.9476,0.0,0.0,1.0
4113,0,6.623366,127.475,1.0,1.0,0.0
5895,0,66.52284,127.482,1.0,0.0,0.0
8420,0,54.06613,242.6326,0.0,0.0,1.0
3265,0,8.640886,157.4698,0.0,0.0,0.0
6781,0,67.5234,217.484,1.0,0.0,1.0
8075,0,60.57969,159.983,0.0,0.0,0.0
4916,0,7.663799,172.4555,1.0,0.0,0.0
6839,0,67.675,92.48802,0.0,0.0,0.0
8965,0,71.13774,104.9643,0.0,0.0,1.0
2743,0,11.84082,152.466,0.0,0.0,1.0
6536,0,54.78319,149.9913,0.0,0.0,1.0
5097,0,62.61777,139.9512,1.0,0.0,1.0
2138,0,9.37017,255.1372,0.0,1.0,0.0
1656,0,1.849371568,184.961033,1.0,0.0,1.0
5786,0,60.34007,182.4608,0.0,0.0,1.0
3408,0,14.17544,149.9776,1.0,1.0,0.0
6811,0,52.97231,105.011,0.0,1.0,0.0
8096,0,70.28113,127.4958,0.0,1.0,0.0
5120,0,64.37387,182.4653,1.0,0.0,0.0
5940,0,56.20194,149.9621,0.0,0.0,0.0
3150,0,10.16083,137.4836,0.0,1.0,0.0
8369,1,45.88967,104.9643,0.0,0.0,0.0
5074,0,57.84605,127.4601,1.0,0.0,0.0
6077,0,42.25776,142.4827,1.0,0.0,1.0
5299,0,44.23945,102.4746,0.0,0.0,1.0
1995,1,5.794641025,119.989722,0.0,0.0,0.0
7642,0,65.03892,262.6106,0.0,0.0,1.0
7441,0,64.91269,114.9728,0.0,0.0,0.0
1330,0,1.699850064,184.978458,1.0,0.0,0.0
9150,0,59.40499,154.9755,0.0,0.0,1.0
3619,0,3.02742,200.1323,0.0,1.0,0.0
1709,0,20.16532013,210.105118,1.0,0.0,0.0
4097,0,18.44164,137.4392,0.0,1.0,0.0
9097,0,64.74166,232.624,1.0,1.0,0.0
2838,0,4.753084,164.967,0.0,0.0,1.0
2584,0,11.59627,202.6362,1.0,0.0,0.0
3516,0,22.97518,179.9656,1.0,1.0,0.0
9912,1,69.6182,114.9658,0.0,0.0,1.0
3878,0,31.44123,214.9663,0.0,0.0,0.0
1695,1,6.289468375,149.959755,1.0,0.0,0.0
2417,0,11.63009,275.1198,0.0,0.0,0.0
2504,0,22.14611,162.4713,0.0,1.0,0.0
12,0,13.01149229,137.439154,1.0,0.0,0.0
4062,0,6.979037,172.4871,0.0,0.0,1.0
7687,1,46.24205,225.1457,1.0,0.0,0.0
8027,0,57.67058,182.4653,0.0,0.0,0.0
4913,1,4.301967,175.0062,0.0,0.0,0.0
9083,0,70.00904,124.9643,0.0,0.0,0.0
1129,0,9.067061096,160.01224,1.0,1.0,0.0
7585,0,71.76063,162.4538,0.0,0.0,0.0
900,0,11.55987401,129.962093,1.0,0.0,0.0
3324,0,17.54953,207.4754,0.0,0.0,1.0
9799,1,54.4197,152.4742,1.0,0.0,0.0
1435,0,14.02688588,245.146969,1.0,1.0,0.0
4724,0,5.70629,152.4624,1.0,0.0,0.0
6570,1,46.23103,179.9476,1.0,1.0,0.0
6429,1,47.47601,277.6513,0.0,1.0,0.0
2521,0,9.303687,172.4705,1.0,1.0,0.0
3775,0,6.830372,252.6378,0.0,1.0,0.0
4414,0,8.324816,92.5018,1.0,0.0,0.0
9724,0,57.99615,202.6362,1.0,0.0,1.0
6404,0,69.56294,202.65,1.0,0.0,0.0
1259,0,5.174032539,104.964303,0.0,1.0,0.0
8380,0,70.01227,114.9509,0.0,0.0,0.0
5595,0,41.58309,194.9882,1.0,0.0,0.0
4554,0,3.246478,117.472,1.0,1.0,0.0
8929,0,42.47353,242.6106,0.0,0.0,0.0
7917,0,68.82747,182.4538,1.0,1.0,0.0
1181,0,13.34966275,172.47417,1.0,1.0,0.0
8747,0,56.19138,184.9496,1.0,0.0,0.0
5049,0,70.09214,139.9568,1.0,1.0,0.0
4109,0,18.85404,207.4673,0.0,0.0,0.0
6131,0,47.65726,157.4698,0.0,0.0,0.0
1964,0,13.59949293,92.455141,0.0,0.0,0.0
9015,0,64.1745,275.1336,0.0,0.0,1.0
1433,0,2.256763731,152.47417,1.0,0.0,0.0
1792,0,1.796607335,207.475448,1.0,0.0,0.0
1042,0,15.1418246,127.458638,0.0,0.0,0.0
1262,0,7.537243981,214.966286,0.0,0.0,0.0
8542,0,45.75297,277.6513,1.0,0.0,0.0
5236,0,59.59391,172.4848,1.0,1.0,0.0
7343,0,60.11026,220.1478,0.0,0.0,1.0
2647,1,13.05373,220.1185,1.0,0.0,0.0
3014,0,8.58684,192.4567,1.0,0.0,1.0
8854,1,71.53606,172.4404,1.0,0.0,0.0
4676,0,7.821554,270.1604,0.0,1.0,0.0
9622,0,58.18819,222.6326,0.0,0.0,1.0
4846,0,4.212653,147.4421,1.0,0.0,0.0
6338,0,67.33827,117.4872,1.0,0.0,0.0
3195,0,5.998405,182.447,0.0,0.0,0.0
8638,0,49.26867,144.9607,1.0,0.0,1.0
4557,0,18.44435,129.9598,0.0,0.0,0.0
1593,0,16.52190477,152.466002,0.0,0.0,1.0
6105,0,56.95876,235.1555,1.0,0.0,1.0
6991,0,59.79789,160.0122,1.0,0.0,0.0
6340,0,45.95837,159.965,0.0,0.0,0.0
8073,0,47.3962,214.9525,0.0,0.0,0.0
3189,0,21.12911,255.1336,0.0,1.0,0.0
6150,0,67.89181,184.9647,1.0,0.0,0.0
6770,1,70.53596,197.484,1.0,0.0,1.0
5728,0,58.74129,127.4958,0.0,0.0,0.0
6881,0,55.47116,129.9621,1.0,0.0,0.0
3720,0,5.315954,232.652,0.0,0.0,0.0
3859,0,6.072026,117.4392,0.0,0.0,0.0
9741,0,60.45443,172.4579,1.0,0.0,0.0
5152,0,60.28236,147.4738,1.0,0.0,0.0
2249,0,3.459881,149.9741,0.0,1.0,0.0
9208,0,57.80772,114.9838,1.0,0.0,0.0
5157,1,64.62378,257.6513,1.0,0.0,0.0
2911,0,3.583025,159.9349,0.0,0.0,0.0
849,0,4.313377262,149.984492,0.0,0.0,0.0
4927,0,3.179833,290.1604,0.0,0.0,1.0
8684,0,71.31658,235.1417,0.0,0.0,0.0
8519,0,62.8566,197.6288,0.0,0.0,1.0
7290,0,57.10479,232.624,0.0,0.0,0.0
6238,0,62.50904,112.4551,0.0,0.0,0.0
3289,0,13.84669,92.45514,0.0,0.0,0.0
9881,0,49.27373,149.9483,1.0,0.0,0.0
388,0,2.993625911,197.516854,0.0,0.0,0.0
9530,0,66.73461,207.6094,0.0,1.0,0.0
6208,0,70.16722,159.9476,0.0,1.0,0.0
8020,0,51.74095,232.624,0.0,0.0,0.0
963,0,1.153881327,204.949594,0.0,0.0,1.0
308,0,4.355064781,139.99789,1.0,1.0,0.0
774,0,9.07068647,187.484705,0.0,1.0,0.0
4769,0,6.033703,95.01949,1.0,0.0,0.0
1350,0,10.55505829,149.944668,1.0,1.0,0.0
1700,0,14.28406007,172.470522,0.0,1.0,0.0
2346,0,8.487326,162.4526,1.0,0.0,1.0
6302,0,63.00356,129.9778,1.0,0.0,0.0
9086,0,64.59202,230.1051,1.0,0.0,0.0
4495,0,12.94793,144.9607,0.0,0.0,0.0
1881,1,5.731198479,169.992756,1.0,0.0,1.0
9699,1,46.86027,137.4392,0.0,0.0,0.0
4040,0,3.903228,182.4538,0.0,0.0,1.0
5048,0,65.4294,172.5034,0.0,0.0,0.0
8109,0,69.0717,162.5299,0.0,1.0,0.0
9329,0,66.79288,124.9607,1.0,0.0,1.0
3865,1,1.481935,147.4421,1.0,1.0,0.0
1800,0,8.154668093,182.497044,0.0,0.0,0.0
3796,0,3.998314,159.9794,0.0,0.0,0.0
8868,0,58.90417,144.9607,0.0,0.0,0.0
4637,0,10.97775,165.0182,0.0,0.0,0.0
5697,0,71.4064,202.4433,0.0,0.0,1.0
9668,1,50.58015,152.4624,0.0,0.0,0.0
5492,0,68.37005,162.4676,0.0,0.0,0.0
9749,0,71.58111,147.4893,1.0,0.0,0.0
5559,0,61.92686,164.967,0.0,0.0,0.0
3802,0,14.09379,169.9447,0.0,0.0,0.0
4711,1,6.027061,204.9797,0.0,0.0,0.0
2460,0,8.939477,154.9755,0.0,0.0,0.0
4537,0,14.0669,192.4567,1.0,0.0,1.0
4848,1,4.579843,127.4738,0.0,0.0,1.0
3774,1,3.613493,222.6281,1.0,0.0,1.0
6687,0,68.69095,232.6228,0.0,0.0,0.0
7259,0,59.98863,194.9768,0.0,0.0,1.0
3926,0,32.73358,257.6549,1.0,0.0,0.0
8718,0,66.19707,172.4624,1.0,0.0,0.0
1581,0,17.78302494,175.133074,0.0,0.0,0.0
4829,0,6.42531,149.9778,0.0,1.0,0.0
9823,0,68.61974,172.4404,0.0,0.0,0.0
7606,0,70.90494,194.9581,1.0,0.0,0.0
8791,1,71.44791,147.4738,0.0,0.0,1.0
2954,0,25.11299,125.0073,1.0,1.0,0.0
2047,0,6.645141,152.4742,1.0,0.0,1.0
9836,0,47.03744,174.9768,1.0,0.0,1.0
7124,0,63.20353,139.9512,0.0,0.0,1.0
9002,0,62.13371,277.6513,0.0,0.0,0.0
7192,0,51.95009,207.6094,1.0,1.0,0.0
2706,1,1.387769,159.9656,0.0,0.0,0.0
6530,0,58.12363,182.4676,1.0,0.0,0.0
1826,0,12.16872039,200.165175,1.0,0.0,0.0
2582,0,22.34478,194.9744,0.0,0.0,0.0
8026,0,54.51932,179.9476,1.0,0.0,1.0
8174,0,69.70038,242.6281,1.0,0.0,0.0
7223,1,63.39679,127.4958,1.0,0.0,0.0
4622,0,3.27379,137.4836,1.0,1.0,0.0
5111,0,53.40027,149.9483,0.0,0.0,1.0
160,0,2.600063739,162.482694,0.0,0.0,0.0
7500,0,56.78316,200.1652,1.0,0.0,0.0
9438,0,54.64972,149.9378,1.0,0.0,0.0
8091,0,64.87596,240.1149,1.0,1.0,0.0
6667,1,55.61318,114.9658,0.0,1.0,0.0
5259,0,56.90852,149.989,0.0,0.0,1.0
6292,0,65.2477,152.4624,1.0,1.0,0.0
966,0,11.20984456,190.12704,1.0,0.0,0.0
5788,0,63.66434,107.4958,1.0,0.0,0.0
8516,0,63.8887,139.9512,1.0,0.0,0.0
5844,1,69.95421,82.49655,1.0,0.0,0.0
9220,0,43.86959,220.1323,0.0,0.0,0.0
2997,0,10.24306,162.4818,0.0,0.0,1.0
310,0,9.915959247,114.997564,0.0,1.0,0.0
8735,0,71.12849,114.9838,0.0,0.0,0.0
6960,0,39.1518,137.4686,0.0,0.0,0.0
2907,0,16.25655,127.4586,1.0,1.0,0.0
4438,0,10.42522,172.4705,0.0,0.0,0.0
2832,0,14.37481,172.4441,0.0,0.0,0.0
9410,0,66.64969,210.138,1.0,0.0,0.0
5886,0,69.90673,117.4872,1.0,0.0,0.0
916,0,12.91213895,112.455141,1.0,1.0,0.0
7181,0,48.25936,197.4725,0.0,1.0,0.0
9756,0,50.49242,137.4392,1.0,0.0,0.0
895,0,3.505235526,182.476229,0.0,1.0,0.0
4168,0,6.941165,125.0073,0.0,0.0,0.0
8407,0,54.8376,162.4937,1.0,0.0,0.0
6782,0,51.6849,94.97283,0.0,0.0,0.0
7962,0,67.70405,187.6094,0.0,1.0,0.0
3694,1,2.240146,187.656,0.0,0.0,0.0
3560,0,11.32383,192.4404,1.0,0.0,1.0
8506,1,66.03662,194.9744,0.0,0.0,1.0
8982,0,51.88253,152.4907,0.0,0.0,0.0
854,0,8.802527803,117.468591,1.0,0.0,0.0
3057,0,15.6265,159.965,0.0,1.0,0.0
7021,0,70.09961,124.9643,1.0,0.0,1.0
4397,0,3.794103,92.5018,1.0,0.0,0.0
5725,0,53.12753,182.4653,1.0,0.0,0.0
6414,0,39.1168,194.9663,0.0,1.0,0.0
2207,0,11.90634,172.4733,1.0,1.0,0.0
3800,0,6.483314,159.9875,0.0,0.0,0.0
815,0,9.44860885,217.470195,0.0,1.0,0.0
2110,0,5.173292,232.6378,0.0,0.0,0.0
2244,0,5.26283,127.4738,1.0,0.0,0.0
1591,0,7.363761345,127.442069,1.0,0.0,0.0
6219,0,62.8196,172.4848,1.0,0.0,1.0
8378,0,41.75833,192.4705,1.0,0.0,0.0
7903,0,52.0997,159.9656,1.0,1.0,0.0
3458,1,17.19789,157.4698,1.0,0.0,0.0
6456,0,71.60926,104.9629,1.0,0.0,0.0
1969,0,6.393598693,172.470522,0.0,0.0,1.0
5985,1,47.50976,222.6654,1.0,0.0,0.0
6318,0,68.18425,152.4441,1.0,0.0,0.0
2812,0,18.7404,162.4689,0.0,0.0,0.0
3738,1,18.81173,160.0013,0.0,0.0,1.0
1216,1,10.08463748,182.467607,1.0,1.0,0.0
2988,0,7.066142,112.4551,1.0,0.0,0.0
9357,0,58.54629,124.9607,0.0,0.0,1.0
9632,0,46.43864,94.97283,1.0,0.0,0.0
9926,0,49.07033,214.9525,0.0,0.0,0.0
2574,0,16.79677,139.9792,1.0,1.0,0.0
6807,1,67.26247,184.9963,0.0,0.0,0.0
3274,1,2.327566,187.4974,1.0,0.0,1.0
9486,0,68.88449,169.9447,1.0,1.0,0.0
9082,0,61.27781,120.0035,1.0,0.0,1.0
1788,0,2.095488213,247.664655,0.0,0.0,0.0
1293,0,4.269258862,174.975543,1.0,0.0,0.0
3063,0,2.437932,169.9447,0.0,0.0,0.0
8352,0,52.53037,169.9447,0.0,0.0,1.0
5207,0,59.01526,182.49,1.0,1.0,0.0
236,0,25.8634566,255.133571,1.0,0.0,0.0
3497,0,4.565947,104.9923,0.0,0.0,1.0
7856,0,66.36071,187.5139,0.0,0.0,0.0
1612,0,4.753020774,245.128318,1.0,0.0,0.0
5511,1,62.11401,184.967,1.0,0.0,0.0
7843,1,65.9436,182.4762,1.0,1.0,0.0
5330,0,63.44795,114.9509,0.0,0.0,1.0
3172,0,9.254257,197.4702,1.0,0.0,0.0
5768,0,65.12119,262.6106,1.0,0.0,0.0
4244,0,3.984772,184.9496,0.0,0.0,0.0
8402,0,43.93445,159.965,0.0,1.0,0.0
525,0,1.906368477,139.951231,1.0,0.0,0.0
6224,0,60.43351,202.65,1.0,0.0,0.0
7556,0,61.88348,182.4433,1.0,0.0,1.0
3373,1,11.59206,127.4783,1.0,0.0,0.0
7942,0,63.07037,235.1372,0.0,0.0,0.0
3292,0,7.182107,204.9634,0.0,0.0,0.0
1486,0,7.517405581,230.105118,0.0,0.0,1.0
4758,0,17.1248,207.6094,1.0,0.0,0.0
5310,0,64.13229,210.1051,1.0,0.0,1.0
8828,0,70.56821,139.9568,0.0,0.0,0.0
5142,0,63.47674,137.4836,1.0,0.0,0.0
5496,0,68.74532,94.97283,1.0,0.0,1.0
6949,0,62.96668,169.9671,1.0,0.0,0.0
4589,0,6.2061,184.967,0.0,0.0,1.0
9075,0,67.88936,222.6143,1.0,1.0,0.0
